latitude,longitude,recap,species,length,width,tail,tail_notes,mass,mass_notes,left_tag,right_tag,notes,chel,burr,algae,mud,sea_squirts,fibropapilloma,damage,damage_notes,shark_damage,substrate,depth,condition
-25.77113,113.79252,no,green,90,82,-3,,90,,88949,88945,NA,no,no,thin,no,no,no,none,NA,0,seagrass,4,flat
-25.7763,113.79358,no,green,83,74,3,,59,,88946,88930,NA,no,no,thin,no,no,no,none,NA,0,seagrass,7,flat
-25.77132,113.79557,no,green,102,90,7,,109,,88926,88941,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,5,flat
-25.77465,113.7915,no,green,103,98,11,,130,,88929,88947,NA,no,no,thin,no,no,no,none,NA,0,seagrass,4,convex
-25.82825,113.73265,no,green,89,84,5,,85,,88907,88936,NA,no,no,thin,no,no,no,none,NA,0,seagrass,6,convex
-25.8166,113.72962,no,green,108,105,44,,132,,88903,88937,NA,no,no,thin,no,no,no,none,NA,0,seagrass,7,concave
-25.82903,113.7338,no,green,107,99,43,,137,,88935,88928,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,7,flat
-25.83858,113.73237,no,green,110,94,18,,152,,88911,88909,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,8,convex
-25.82918,113.73233,no,loggerhead,75.5,73.5,-2,,NA,,88979,88905,NA,yes,no,thick,no,no,no,none,NA,0,seagrass,5,slightconcave
-25.80562,113.73395,no,green,108.5,97.5,39,,NA,,88901,88942,NA,no,no,thin,no,no,no,none,NA,0,seagrass,11,flat
-25.73143,113.63673,yes,loggerhead,99,88,-1,,NA,,54675,42658,NA,yes,no,thick,no,no,no,car,front of carapace bit trough pictures,1,sand,3,flat
-25.74542,113.66953,no,loggerhead,93,94,0,,NA,,87448,88902,NA,yes,no,thin,no,no,no,none,NA,0,sand,3.1,slightconcave
-25.73797,113.672,no,green,83.5,77.5,1,,NA,,88916,88915,NA,yes,yes,none,no,no,no,none,NA,0,seagrass,12,slightconcave
-25.72873,113.66785,yes,loggerhead,100,95.5,1.5,,NA,,83954,83976,NA,yes,no,none,no,no,no,none,NA,0,seagrass,6,flat
-25.74755,113.67172,no,green,85,81,2,,NA,,88908,88904,NA,yes,no,none,no,no,no,none,NA,0,sand,4.5,flat
-25.72847,113.63042,yes,loggerhead,107.5,97.5,-8,,NA,,88918,51626,NA,yes,no,thin,no,no,no,none,NA,0,sand,4,slightconcave
-25.73375,113.65635,yes,loggerhead,100,95,-2,,NA,,83954,83976,NA,yes,no,none,no,no,no,none,NA,0,sand,3.3,slightconcave
-25.7338,113.64833,no,green,89.5,82,6,,NA,,88922,88943,NA,yes,no,none,no,no,no,none,NA,0,sand,5,flat
-25.73375,113.64825,yes,loggerhead,105,94,28,,NA,,54678,54677,NA,yes,yes,thin,no,no,NA,none,NA,0,sand,6.2,flat
-25.7492,113.67193,no,loggerhead,105,92,29,,NA,,88914,88912,NA,yes,no,thick,no,no,no,none,NA,0,sand,4,slightconcave
-25.62908,113.59068,no,green,85,80.5,2,,NA,,88919,88925,NA,yes,no,thin,no,no,no,none,NA,0,sand,4.8,concave
-25.76437,113.7889,no,green,108.5,102,3,,NA,,88906,88927,NA,no,no,thin,no,no,no,none,NA,0,seagrass,8,flat
-25.77612,113.79348,no,green,97.5,95,3,,NA,,88948,88924,NA,yes,no,none,no,no,no,none,NA,0,seagrass,7,flat
-25.7768,113.79157,no,green,108,100,12,,NA,,88934,88933,NA,no,no,none,no,no,no,none,NA,0,seagrass,3.8,flat
-25.77185,113.7889,no,green,109,104,13,,NA,,87446,88950,NA,yes,yes,thin,no,no,no,none,NA,0,seagrass,3.6,flat
-25.79497,113.85742,yes,loggerhead,94,90,1.5,,NA,,41800,41799,NA,yes,no,thin,no,no,no,none,NA,0,sand,1.9,slightconcave
-25.79292,113.84805,no,green,82,76,2,,NA,,83977,88923,NA,no,no,thin,no,no,no,none,NA,0,seagrass,2,convex
-25.79211,113.85762,no,loggerhead,93,89,28.5,,NA,,83994,83981,NA,yes,no,thick,no,no,no,car,bite mark right side posterior; see data sheet,1,seagrass,3,flat
-25.72833,113.63272,yes,loggerhead,78,70,-2,,NA,,54958,54959,NA,yes,no,thick,no,no,no,none,NA,0,sand,3,flat
-25.72227,113.62368,no,loggerhead,98,85,-2,,NA,,83996,83980,NA,yes,no,thin,no,no,no,none,NA,0,sand,6,flat
-25.73633,113.65017,no,loggerhead,85,71,-6,,NA,,84277,84295,NA,yes,no,thin,no,no,no,none,NA,0,sand,5.7,flat
-25.7355,113.64967,no,loggerhead,96.5,88.5,-5.5,,NA,,84289,84288,NA,yes,yes,thin,no,no,no,none,NA,0,sand,4.8,flat
-25.75533,113.676,yes,loggerhead,75,71,3.5,,NA,,84287,54867,NA,yes,yes,thin,yes,no,no,car,small_notches_right_read_of_shell,0,seagrass,11.5,slightconcave
-25.82117,113.73033,no,green,77,68,6.5,,NA,,NA,84284,NA,no,no,thick,no,no,no,none,NA,0,seagrass,3.8,flat
-25.83183,113.73067,no,green,102,94,7,,NA,,84283,84299,NA,no,no,thin,no,no,no,none,NA,0,seagrass,4.1,flat
-25.84302,113.73209,no,loggerhead,79.5,68,3,,NA,,84290,84251,NA,yes,yes,none,no,no,no,none,NA,0,seagrass,4,flat
-25.83893,113.73209,yes,green,108.5,99,9,,NA,,59480,59481,NA,no,no,thin,no,no,no,none,NA,0,seagrass,6.5,flat
-25.74258,113.74841,yes,green,83,80.5,10,,NA,,84286,51771,NA,no,no,thin,no,no,no,none,NA,0,sand,7,convex
-25.77471,113.79008,no,green,68,62.5,2,,NA,,84206,84300,NA,no,no,thin,no,no,no,none,NA,0,seagrass,5.5,flat
-25.82344,113.7333,no,green,50.5,50.5,0.5,,NA,,84210,84282,NA,no,no,thin,no,no,no,none,NA,0,seagrass,5.7,flat
-25.83957,113.73013,no,green,76,72,1.2,,NA,,84204,84294,NA,no,no,thin,no,no,no,none,NA,0,seagrass,6,slightconcave
-25.83784,113.73166,no,green,104,91.5,3.5,,NA,,84207,84211,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,7,flat
-25.84005,113.7312,no,green,93,86,8,,NA,,84205,84285,NA,no,no,thin,no,no,no,none,NA,0,seagrass,7,flat
-25.8364,113.73401,no,green,108,95.5,8.5,,NA,,84209,84298,NA,no,no,thin,no,no,no,none,NA,0,seagrass,7.2,flat
-25.83311,113.7347,no,green,76,66,4,,NA,,84208,84257,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,9,slightconcave
-25.79889,113.73402,no,green,79.5,74,4,,NA,,84275,84261,NA,yes,no,thick,yes,no,no,none,NA,0,seagrass,10.9,slightconcave
-25.81973,113.73261,no,green,109,101,8,,NA,,84263,84264,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,8,flat
-25.84597,113.72974,no,green,71,69,1,,NA,,84272,84260,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,6,slightconcave
-25.84542,113.73135,no,green,97,91,4.5,,NA,,84269,84266,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,5.5,convex
-25.82259,113.73085,no,green,109,91.5,7,,NA,,84265,84273,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,6,concave
-25.82466,113.7283,no,green,100,99,7.5,,NA,,84233,84234,NA,no,no,thin,no,no,no,none,NA,0,seagrass,5.5,flat
-25.84239,113.73029,no,green,109.5,99,12,,NA,,84227,84226,NA,no,no,thick,no,no,no,none,NA,0,seagrass,8,concave
-25.84066,113.73127,no,green,79.5,73.5,1,,NA,,84230,84262,NA,no,no,thin,no,no,no,none,NA,0,seagrass,7.5,slightconcave
-25.84629,113.7309,no,green,97.5,85.5,6,,NA,,84228,84258,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,7,flat
-25.83084,113.73086,no,green,83,76,5.5,,NA,,84231,84235,NA,no,no,thin,no,no,no,lhf,lhf damage_removed,0,seagrass,6,flat
-25.8216,113.73482,no,green,89,80,6.5,,NA,,84229,84271,NA,no,no,thin,no,no,no,none,NA,0,seagrass,11,flat
-25.81724,113.73235,yes,green,103,100,36,,NA,,54999,54998,NA,no,no,thin,yes,no,no,none,NA,0,seagrass,7,slightconcave
-25.83024,113.7349,no,green,80.5,75.5,3.5,,NA,,84201,84224,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,9.7,flat
-25.82093,113.73434,no,green,106,99.5,10,,NA,,84220,84221,NA,no,no,thin,no,no,no,rhf,NA,1,seagrass,9,flat
-25.8069,113.73167,no,loggerhead,98.5,91,22,,NA,,84225,84212,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,5,slightconcave
-25.83493,113.7676,no,green,90,82,1,,NA,,84246,84245,NA,no,no,thin,no,no,no,none,NA,0,seagrass,5.5,slightconcave
-25.82888,113.76569,no,green,87.5,83,3,,NA,,84242,84238,NA,yes,no,thin,no,no,no,car,back right 2cm diameter hole through shell; flesh visible,0,seagrass,4.4,slightconcave
-25.83882,113.72942,no,green,87,82.5,5,,NA,,84243,84223,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,6.4,flat
-25.82138,113.73402,no,green,105,104.5,6,,NA,,84274,84248,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,10,flat
-25.8329,113.76775,no,green,108,104.5,10,,NA,,84237,84247,NA,no,no,thin,no,no,no,none,NA,0,seagrass,5,flat
-25.834,113.76829,no,green,96.5,92.5,29.5,,NA,,84241,83239,NA,no,no,thin,no,no,no,none,NA,0,seagrass,5.5,concave
-25.81561,113.73531,no,green,105,97,5,,NA,,84215,79940,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,11,flat
-25.8288,113.73457,no,green,101,96,9,,NA,,79944,79948,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,8.8,slightconcave
-25.82677,113.73501,yes,green,100,92,11,,NA,,51789,18551,NA,no,no,thin,no,no,no,none,NA,0,seagrass,10.2,flat
-25.82383,113.7299,no,green,85,80,3,,NA,,84216,84222,NA,no,no,thin,no,no,no,none,NA,0,seagrass,3.6,slightconcave
-25.84013,113.73332,yes,green,105,97,7,,NA,,84232,47309,NA,yes,no,none,no,no,no,none,NA,0,seagrass,8.2,convex
-25.84177,113.73249,no,green,95,88,10.5,,NA,,84249,84240,NA,no,no,none,no,no,no,none,NA,0,seagrass,6.7,flat
-25.83666,113.73203,no,green,102,99.5,11,,NA,,79942,84244,NA,no,no,thin,no,no,no,none,NA,0,seagrass,8,flat
-25.85755,113.75958,no,green,78,71,4,,NA,,84250,79947,NA,no,no,thin,no,no,no,none,NA,0,seagrass,5.4,flat
-25.85106,113.75601,no,green,86,83,5.5,,NA,,79943,79945,NA,yes,no,none,no,no,no,none,NA,0,seagrass,4.9,flat
-25.84905,113.74554,no,green,105,101,11,,NA,,79946,84217,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,6,flat
-25.8425,113.77158,no,green,105.5,99.5,13,,NA,,80117,80115,NA,no,no,thin,no,no,no,none,NA,0,seagrass,5.7,flat
-25.83559,113.75941,yes,green,92,89.5,31,,NA,,42470,80073,NA,yes,no,thick,no,no,no,none,NA,0,seagrass,5,veryconcave
-25.85069,113.78731,no,green,99,94,10,,NA,,80103,80111,NA,no,no,thin,no,no,no,none,NA,0,seagrass,8,flat
-25.85056,113.78223,no,green,99.5,93,10,,NA,,80071,80131,NA,no,yes,thin,no,no,no,none,NA,0,seagrass,7,slightconcave
-25.83191,113.77045,no,green,101,99,12,,NA,,80148,80124,NA,no,no,none,no,no,no,none,NA,0,seagrass,6.5,flat
-25.83778,113.7315,no,green,98.5,92,4,,NA,,80113,80188,NA,no,no,thin,no,no,no,none,NA,0,seagrass,9,flat
-25.85136,113.73325,no,green,97,94,7,,NA,,80198,79950,NA,no,no,thin,no,no,no,none,NA,0,seagrass,8,flat
-25.82125,113.13251,no,green,103.5,99,9,,NA,,80069,79999,NA,no,no,thin,no,no,no,none,NA,0,seagrass,4,slightconcave
-25.82862,113.7342,no,green,95,93.5,5.5,,NA,,80189,80070,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,6.5,flat
-25.84074,113.73457,no,green,101.5,92,9,,NA,,80199,80136,NA,no,no,none,no,no,no,none,NA,0,algae,8,flat
-25.83574,113.73341,no,green,99,86,13,,NA,,80197,80110,NA,no,no,thin,no,no,no,none,NA,0,seagrass,7,flat
-25.82315,113.77463,no,green,87,83,2,,NA,,80109,84291,NA,no,no,thin,no,no,no,none,NA,0,seagrass,6,flat
-25.82767,113.77467,no,green,90.5,85,10,,NA,,80108,80177,NA,no,no,thin,no,no,no,none,NA,0,seagrass,6,flat
-25.85732,113.73132,no,green,85,83,4.5,,NA,,80195,80194,NA,yes,no,thick,no,no,no,none,NA,0,seagrass,5.6,concave
-25.82765,113.73286,yes,green,109.5,98,11.5,,NA,,84227,84226,NA,no,no,thick,no,no,no,none,NA,0,seagrass,6,concave
-25.8392,113.73033,no,green,112,102,14,,NA,,80182,80187,NA,no,no,thin,no,no,no,none,NA,0,algae,5.5,flat
-25.82831,113.7316,no,green,103,96,12,,NA,,84276,80191,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,5,flat
-25.83047,113.7343,no,green,99,87,40.5,,NA,,84280,80186,NA,no,no,thin,no,no,no,none,NA,0,seagrass,8,slightconcave
-25.84117,113.73083,no,green,83,76.5,11,,NA,,80180,80185,NA,no,no,thin,no,no,no,none,NA,0,seagrass,5,flat
-25.84205,113.73244,no,green,96,91,14,,NA,,80181,80196,NA,no,no,thin,no,no,no,none,NA,0,seagrass,6,slightconcave
-25.83136,113.7311,no,green,91,82.5,43,,NA,,80183,80105,NA,no,no,none,no,no,no,none,NA,0,seagrass,4.3,slightconcave
-25.8278,113.73224,no,green,88,85,-5,around -5,NA,,88969,80184,tail length measured incorrectly (from base of tail not edge of shell); this is an adjusted estimate,no,no,thin,no,no,no,none,NA,0,seagrass,6,flat
-25.83674,113.73135,no,green,96.5,95,17,around 17,NA,,83922,80193,tail length measured incorrectly (from base of tail not edge of shell); this is an adjusted estimate,no,no,none,no,no,no,none,NA,0,seagrass,7,flat
-25.82315,113.73921,no,green,101,96,40,around 40,NA,,80192,88976,tail length measured incorrectly (from base of tail not edge of shell); this is an adjusted estimate,no,no,thin,no,no,no,none,NA,0,seagrass,5.1,flat
-25.82455,113.73199,no,green,109,105,7.5,around 7.5,NA,,83921,88983,tail length measured incorrectly (from base of tail not edge of shell); this is an adjusted estimate,no,no,thin,no,no,no,rff,3/4 rff missing; see sheet,1,seagrass,5.3,flat
-25.81935,113.73228,no,green,105.5,96,12,,NA,,80178,88932,NA,yes,no,thick,no,no,no,none,NA,0,seagrass,7,flat
-25.82021,113.73298,no,green,101,92,12.5,,NA,,91689,91687,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,5,flat
-25.84582,113.73238,no,green,75,76,-1.8,,NA,,91696,91693,NA,no,no,thin,no,no,no,none,NA,0,NA,6.5,flat
-25.85482,113.73239,no,green,93.5,85.8,3.4,,NA,,91683,91682,NA,no,no,none,no,no,no,none,NA,0,seagrass,5,flat
-25.83465,113.73143,no,green,97.5,89.4,9,,NA,,91681,91678,NA,yes,yes,none,no,no,no,none,NA,0,NA,5.5,flat
-25.82894,113.73106,no,green,120,93,34.5,,NA,,91679,91677,NA,no,no,thin,no,no,no,none,NA,0,seagrass,5,flat
-25.60636,113.59047,no,green,94.5,89,2,,NA,,91692,91680,NA,no,no,none,no,no,no,none,NA,0,sand,3,flat
-25.61482,113.59593,no,green,83,76,2.5,,NA,,91685,91691,NA,yes,no,none,no,no,no,rhf,NA,1,sand,8,flat
-25.6099,113.59192,no,green,83,84,5.5,,NA,,91697,91695,NA,no,no,thin,no,no,no,lhf car,3 photos taken,1,sand,6,flat
-25.82256,113.73404,no,green,101.5,92,12.5,,NA,,91676,91698,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,8,veryconcave
-25.82895,113.73043,no,green,103,98,7,,NA,,91690,84203,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,6,flat
-25.83272,113.7276,yes,green,96.5,90.5,7,,NA,,80181,80196,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,4,slightconcave
-25.83684,113.73035,no,green,89,79,7.5,,NA,,84214,84268,NA,no,no,none,no,no,no,none,NA,0,seagrass,7,flat
-25.81764,113.72962,no,green,103.5,103,8,,NA,,84278,84259,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,3.5,NA
-25.82112,113.72971,yes,green,99.5,96,9,,NA,,80071,80131,NA,yes,yes,thick,no,no,no,none,NA,0,seagrass,3.5,concave
-25.85224,113.73129,no,green,103,100.5,12.5,,NA,,91699,88953,NA,yes,no,thick,no,no,no,none,NA,0,seagrass,7,slightconcave
-25.8413,113.72826,no,green,93,85,29,,NA,,84219,91684,NA,yes,no,thick,no,no,no,none,NA,0,seagrass,6,flat
-25.82652,113.73083,no,green,104,93.5,33,,NA,,80179,91686,NA,yes,no,none,no,no,no,none,NA,0,seagrass,5.5,veryconcave
-25.85323,113.73283,no,green,81.5,76,0.5,,NA,,91348,91688,NA,no,yes,none,no,no,no,none,NA,0,seagrass,6,flat
-25.83783,113.73045,no,green,105,92,8,,NA,,91346,91341,NA,no,no,none,no,no,no,none,NA,0,seagrass,4,slightconcave
-25.85138,113.76139,no,green,106.5,100,8,,NA,,91288,91347,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,4,flat
-25.83548,113.73163,no,green,102.5,95,8.5,,NA,,91345,91344,NA,no,no,thin,no,no,no,none,NA,0,seagrass,5,flat
-25.82146,113.73428,no,green,106,97,9,,NA,,91343,91342,NA,no,no,thin,no,no,no,none,NA,0,seagrass,6,flat
-25.84805,113.74758,no,green,106.5,91.5,9,,NA,,91700,91694,NA,yes,no,none,no,no,no,none,NA,0,seagrass,3,flat
-25.82922,113.73036,no,green,98.5,93,9.5,,NA,,91350,88977,NA,no,no,thin,no,no,no,none,NA,0,seagrass,5.5,flat
-25.8169,113.73154,no,green,110,99,10,,NA,,80020,80024,NA,no,yes,thin,no,no,no,car,NA,1,seagrass,6.3,slightconcave
-25.75223,113.749,no,loggerhead,84,79,-4,,NA,,91379,91382,NA,yes,no,thin,no,no,no,none,NA,0,sand,8.2,flat
-25.81494,113.73225,no,green,95,91.5,8,,NA,,91381,91377,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,7,veryconcave
-25.8383,113.73248,no,green,89.5,81.5,29,,NA,,80016,91378,NA,yes,no,none,no,no,no,none,possible turtle nips on flippers?,0,seagrass,6,slightconcave
-25.83759,113.72737,no,green,97,89,8,,NA,,91389,80025,NA,no,no,thin,no,no,no,none,NA,0,seagrass,2.2,slightconcave
-25.82569,113.72981,yes,green,102,94,9,,NA,,84283,91287,NA,no,no,thin,no,no,no,none,healed puncture on rff likely due to flipper tag,0,seagrass,5.5,flat
-25.85133,113.7325,no,green,108,99.5,12.5,,NA,,NA,NA,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,6,flat
-25.83202,113.73376,no,green,93,87.5,5,,NA,,91388,91380,NA,no,no,thin,no,no,no,none,NA,0,seagrass,9,flat
-25.81585,113.73146,no,green,109.5,101.5,10,,NA,,91390,91393,NA,no,no,thin,no,no,no,none,NA,0,seagrass,4,slightconcave
-25.61478,113.59481,no,green,96,88,3,,NA,,91391,91397,NA,no,no,thin,no,no,no,tail,tail just a nub; healed over,0,sand,7,flat
-25.61239,113.59451,no,green,78,80.5,5,,NA,,91394,88913,NA,yes,no,none,no,no,no,none,NA,0,sand,8,flat
-25.60359,113.5949,no,green,83,75,7,,NA,,91376,91386,NA,yes,no,thin,no,no,no,none,NA,0,sand,6,flat
-25.58996,113.59772,no,green,97.5,90,14.5,,NA,,91399,91383,NA,no,no,none,no,no,no,none,NA,0,sand,13,flat
-25.65909,113.59434,no,green,101,95,30,,NA,,91396,91392,NA,yes,no,none,no,no,no,none,NA,0,sand,3,slightconcave
-25.50096,113.43824,no,green,90,79.9,3,,NA,,91260,91267,NA,yes,yes,thin,no,no,no,none,NA,0,seagrass,6,slightconcave
-25.51037,113.43881,no,green,89,80.5,4,,NA,,91271,91263,NA,yes,no,thin,no,no,no,none,NA,0,seagrass,7.7,flat
-25.50946,113.43895,no,green,86,76,5,,NA,,91265,91268,NA,no,no,thin,no,no,no,none,NA,0,seagrass,8.1,slightconcave
-25.49998,113.43982,no,green,102.5,93.5,7,,NA,,91400,91270,NA,no,no,thin,no,no,no,none,NA,0,seagrass,8,flat
-25.46207,113.42876,no,green,111,98,9.5,,NA,,91259,91262,NA,yes,yes,none,no,no,no,lhf,turtle nips,0,sand,6,flat
-25.50672,NA,no,green,102,91.5,34,,NA,,91399,91290,NA,yes,no,thick,no,no,no,lhf rhf,NA,0,seagrass,6,veryconcave
