Identificacion,Tratamiento,Identicacion Unica,Peso dia 1,Peso dia 8,Peso dia 15,Peso dia 22,Peso dia 29,Peso dia 36,Peso dia 43,Peso dia 50,Peso dia 57,Peso dia 64,Peso dia 71,Peso dia 78,Peso dia 81,Peso faenado,Peso vivo,Rendimiento a la canal (%),Consumo Bal (gr) dia1,Consumo Bal (gr) dia2,Consumo Bal (gr) dia3,Consumo Bal (gr) dia4,Consumo Bal (gr) dia5,Consumo Bal (gr) dia6,Consumo Bal (gr) dia7,Consumo Bal (gr) dia8,Consumo Bal (gr) dia9,Consumo Bal (gr) dia10,Consumo Bal (gr) dia11,Consumo Bal (gr) dia12,Consumo Bal (gr) dia13,Consumo Bal (gr) dia14,Consumo Bal (gr) dia15,Consumo Bal (gr) dia16,Consumo Bal (gr) dia17,Consumo Bal (gr) dia18,Consumo Bal (gr) dia19,Consumo Bal (gr) dia20,Consumo Bal (gr) dia21,Consumo Bal (gr) dia22,Consumo Bal (gr) dia23,Consumo Bal (gr) dia24,Consumo Bal (gr) dia25,Consumo Bal (gr) dia26,Consumo Bal (gr) dia27,Consumo Bal (gr) dia28,Consumo Bal (gr) dia29,Consumo Bal (gr) dia30,Consumo Bal (gr) dia31,Consumo Bal (gr) dia32,Consumo Bal (gr) dia33,Consumo Bal (gr) dia34,Consumo Bal (gr) dia35,Consumo Bal (gr) dia36,Consumo Bal (gr) dia37,Consumo Bal (gr) dia38,Consumo Bal (gr) dia39,Consumo Bal (gr) dia40,Consumo Bal (gr) dia41,Consumo Bal (gr) dia42,Consumo Bal (gr) dia43,Consumo Bal (gr) dia44,Consumo Bal (gr) dia45,Consumo Bal (gr) dia46,Consumo Bal (gr) dia47,Consumo Bal (gr) dia48,Consumo Bal (gr) dia49,Consumo Bal (gr) dia50,Consumo Bal (gr) dia51,Consumo Bal (gr) dia52,Consumo Bal (gr) dia53,Consumo Bal (gr) dia54,Consumo Bal (gr) dia55,Consumo Bal (gr) dia56,Consumo Bal (gr) dia57,Consumo Bal (gr) dia58,Consumo Bal (gr) dia59,Consumo Bal (gr) dia60,Consumo Bal (gr) dia61,Consumo Bal (gr) dia62,Consumo Bal (gr) dia63,Consumo Bal (gr) dia64,Consumo Bal (gr) dia65,Consumo Bal (gr) dia66,Consumo Bal (gr) dia67,Consumo Bal (gr) dia68,Consumo Bal (gr) dia69,Consumo Bal (gr) dia70,Consumo Bal (gr) dia71,Consumo Bal (gr) dia72,Consumo Bal (gr) dia73,Consumo Bal (gr) dia74,Consumo Bal (gr) dia75,Consumo Bal (gr) dia76,Consumo Bal (gr) dia77,Consumo Bal (gr) dia78,Consumo Bal (gr) dia79,Consumo Bal (gr) dia80,Consumo EP (gr) dia 1,Consumo EP (gr) dia 2,Consumo EP (gr) dia 3,Consumo EP (gr) dia 4,Consumo EP (gr) dia 5,Consumo EP (gr) dia 6,Consumo EP (gr) dia 7,Consumo EP (gr) dia 8,Consumo EP (gr) dia 9,Consumo EP (gr) dia 10,Consumo EP (gr) dia 11,Consumo EP (gr) dia 12,Consumo EP (gr) dia 13,Consumo EP (gr) dia 14,Consumo EP (gr) dia 15,Consumo EP (gr) dia 16,Consumo EP (gr) dia 17,Consumo EP (gr) dia 18,Consumo EP (gr) dia 19,Consumo EP (gr) dia 20,Consumo EP (gr) dia 21,Consumo EP (gr) dia 22,Consumo EP (gr) dia 23,Consumo EP (gr) dia 24,Consumo EP (gr) dia 25,Consumo EP (gr) dia 26,Consumo EP (gr) dia 27,Consumo EP (gr) dia 28,Consumo EP (gr) dia 29,Consumo EP (gr) dia 30,Consumo EP (gr) dia 31,Consumo EP (gr) dia 32,Consumo EP (gr) dia 33,Consumo EP (gr) dia 34,Consumo EP (gr) dia 35,Consumo EP (gr) dia 36,Consumo EP (gr) dia 37,Consumo EP (gr) dia 38,Consumo EP (gr) dia 39,Consumo EP (gr) dia 40,Consumo EP (gr) dia 41,Consumo EP (gr) dia 42,Consumo EP (gr) dia 43,Consumo EP (gr) dia 44,Consumo EP (gr) dia 45,Consumo EP (gr) dia 46,Consumo EP (gr) dia 47,Consumo EP (gr) dia 48,Consumo EP (gr) dia 49,Consumo EP (gr) dia 50,Consumo EP (gr) dia 51,Consumo EP (gr) dia 52,Consumo EP (gr) dia 53,Consumo EP (gr) dia 54,Consumo EP (gr) dia 55,Consumo EP (gr) dia 56,Consumo EP (gr) dia 57,Consumo EP (gr) dia 58,Consumo EP (gr) dia 59,Consumo EP (gr) dia 60,Consumo EP (gr) dia 61,Consumo EP (gr) dia 62,Consumo EP (gr) dia 63,Consumo EP (gr) dia 64,Consumo EP (gr) dia 65,Consumo EP (gr) dia 66,Consumo EP (gr) dia 67,Consumo EP (gr) dia 68,Consumo EP (gr) dia 69,Consumo EP (gr) dia 70,Consumo EP (gr) dia 71,Consumo EP (gr) dia 72,Consumo EP (gr) dia 73,Consumo EP (gr) dia 74,Consumo EP (gr) dia 75,Consumo EP (gr) dia 76,Consumo EP (gr) dia 77,Consumo EP (gr) dia 78,Consumo EP (gr) dia 79,Consumo EP (gr) dia 80,Consumo Total (gr) dia1,Consumo Total (gr) dia2,Consumo Total (gr) dia3,Consumo Total (gr) dia4,Consumo Total (gr) dia5,Consumo Total (gr) dia6,Consumo Total (gr) dia7,Consumo Total (gr) dia8,Consumo Total (gr) dia9,Consumo Total (gr) dia10,Consumo Total (gr) dia11,Consumo Total (gr) dia12,Consumo Total (gr) dia13,Consumo Total (gr) dia14,Consumo Total (gr) dia15,Consumo Total (gr) dia16,Consumo Total (gr) dia17,Consumo Total (gr) dia18,Consumo Total (gr) dia19,Consumo Total (gr) dia20,Consumo Total (gr) dia21,Consumo Total (gr) dia22,Consumo Total (gr) dia23,Consumo Total (gr) dia24,Consumo Total (gr) dia25,Consumo Total (gr) dia26,Consumo Total (gr) dia27,Consumo Total (gr) dia28,Consumo Total (gr) dia29,Consumo Total (gr) dia30,Consumo Total (gr) dia31,Consumo Total (gr) dia32,Consumo Total (gr) dia33,Consumo Total (gr) dia34,Consumo Total (gr) dia35,Consumo Total (gr) dia36,Consumo Total (gr) dia37,Consumo Total (gr) dia38,Consumo Total (gr) dia39,Consumo Total (gr) dia40,Consumo Total (gr) dia41,Consumo Total (gr) dia42,Consumo Total (gr) dia43,Consumo Total (gr) dia44,Consumo Total (gr) dia45,Consumo Total (gr) dia46,Consumo Total (gr) dia47,Consumo Total (gr) dia48,Consumo Total (gr) dia49,Consumo Total (gr) dia50,Consumo Total (gr) dia51,Consumo Total (gr) dia52,Consumo Total (gr) dia53,Consumo Total (gr) dia54,Consumo Total (gr) dia55,Consumo Total (gr) dia56,Consumo Total (gr) dia57,Consumo Total (gr) dia58,Consumo Total (gr) dia59,Consumo Total (gr) dia60,Consumo Total (gr) dia61,Consumo Total (gr) dia62,Consumo Total (gr) dia63,Consumo Total (gr) dia64,Consumo Total (gr) dia65,Consumo Total (gr) dia66,Consumo Total (gr) dia67,Consumo Total (gr) dia68,Consumo Total (gr) dia69,Consumo Total (gr) dia70,Consumo Total (gr) dia71,Consumo Total (gr) dia72,Consumo Total (gr) dia73,Consumo Total (gr) dia74,Consumo Total (gr) dia75,Consumo Total (gr) dia76,Consumo Total (gr) dia77,Consumo Total (gr) dia78,Consumo Total (gr) dia79,Consumo Total (gr) dia80
1,T1,1T1,12.50,19.20,24.74,30.28,34.38,39.9,46.5,52.03,58.54,64.6,68.9,77.26,77.5,60,77.26,77.65984986,750,750,717,800,900,950,980,1040,1090,1100,1008,1050,1100,1080,1120,1200,1200,1250,1250,1300,1300,1400,1500,1500,1550,1600,1600,1600,1700,1728,1728,1728,1678,1670,1683,1700,1800,1770,1950,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2960,2000,2000,2080,2070,2100,2100,2100,2100,2100,2040,2070,2080,2100,2100,2100,2100,2100,2100,2100,2100,2300,2300,2300,2300,2300,2300,2251,2300,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,750,717,800,900,950,980,1040,1090,1100,1008,1050,1100,1080,1120,1200,1200,1250,1250,1300,1300,1400,1500,1500,1550,1600,1600,1600,1700,1728,1728,1728,1678,1670,1683,1700,1800,1770,1950,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2960,2000,2000,2080,2070,2100,2100,2100,2100,2100,2040,2070,2080,2100,2100,2100,2100,2100,2100,2100,2100,2300,2300,2300,2300,2300,2300,2251,2300,1150
2,T1,2T1,7.25,11.14,13.70,17.14,20.70,25.5,30.4,35.06,39.36,44.4,49.34,54.06,56.88,43.63636364,54.06,80.7183937,450,400,470,600,650,850,800,765,700,750,750,710,721,767,780,800,850,900,980,1005,1005,1010,1150,1100,1050,1105,1100,1100,1155,1120,1200,1200,1064,1002,1141,1200,1276,1109,1500,1336,1500,1664,1664,1700,1427,1531,1512,1530,1594,1594,1513,1600,1470,1500,1580,1600,1600,1600,1600,1540,1514,1552,1600,1600,1587,1600,1600,1600,1600,1600,1600,1800,1800,1800,1800,1800,1755,1800,1800,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,400,470,600,650,850,800,765,700,750,750,710,721,767,780,800,850,900,980,1005,1005,1010,1150,1100,1050,1105,1100,1100,1155,1120,1200,1200,1064,1002,1141,1200,1276,1109,1500,1336,1500,1664,1664,1700,1427,1531,1512,1530,1594,1594,1513,1600,1470,1500,1580,1600,1600,1600,1600,1540,1514,1552,1600,1600,1587,1600,1600,1600,1600,1600,1600,1800,1800,1800,1800,1800,1755,1800,1800,900
3,T1,3T1,10.00,16.36,20.66,25.02,28.88,31.68,37.8,44.6,50.46,56.8,60.56,68.56,68.82,51.36363636,68.56,74.91778933,700,690,710,800,800,700,950,1008,980,1040,997,975,968,1002,1035,1050,1100,1100,1200,1200,1200,1300,1300,1271,1400,1450,1450,1500,1474,1253,1134,1220,1102,1001,1035,1300,1500,1319,1648,1661,1700,1800,1800,1900,1900,1900,1900,1900,1900,1900,1900,1900,1570,1767,1790,1850,2069,2000,2000,2000,1970,1950,2000,1913,2080,2000,2000,2000,2000,2000,2000,2200,2140,2200,2200,2200,2200,2180,1900,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,690,710,800,800,700,950,1008,980,1040,997,975,968,1002,1035,1050,1100,1100,1200,1200,1200,1300,1300,1271,1400,1450,1450,1500,1474,1253,1134,1220,1102,1001,1035,1300,1500,1319,1648,1661,1700,1800,1800,1900,1900,1900,1900,1900,1900,1900,1900,1900,1570,1767,1790,1850,2069,2000,2000,2000,1970,1950,2000,1913,2080,2000,2000,2000,2000,2000,2000,2200,2140,2200,2200,2200,2200,2180,1900,1100
4,T1,4T1,10.39,16.66,19.82,24.62,30.30,34.4,38.08,45.4,49.48,53,58.66,66.72,66.8,52.72727273,66.72,79.02768694,700,698,702,800,800,850,980,1005,990,1002,960,901,980,990,1020,1015,1190,1100,1150,1180,1200,1300,1300,1290,1400,1470,1493,1450,1499,1384,1192,1390,1028,1159,1155,1344,1363,859,1346,1539,1600,1800,1800,1900,1816,1712,1641,1784,1798,1469,1900,1900,1322,1598,1694,1823,1835,1684,1875,1624,1437,1582,1778,1793,1501,1686,1212,1842,1842,1819,2000,2026,2200,2192,2192,2200,2200,2200,2200,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,698,702,800,800,850,980,1005,990,1002,960,901,980,990,1020,1015,1190,1100,1150,1180,1200,1300,1300,1290,1400,1470,1493,1450,1499,1384,1192,1390,1028,1159,1155,1344,1363,859,1346,1539,1600,1800,1800,1900,1816,1712,1641,1784,1798,1469,1900,1900,1322,1598,1694,1823,1835,1684,1875,1624,1437,1582,1778,1793,1501,1686,1212,1842,1842,1819,2000,2026,2200,2192,2192,2200,2200,2200,2200,1100
1,T2,1T2,10.18,15.68,18.82,23.64,27.46,31.46,37.6,44.2,47.6,50.5,57.46,62.3,63.88,49.54545455,62.3,79.52721436,644,654,736,699,736,782,920,805,1012,1058,1012,902,883,828,952,966,966,1012,1030,1104,1104,1196,1196,1242,1288,1360,1380,1376,1380,1377,1377,1298,1298,1293,1411,1527,1472,1619,1730,1730,1730,1656,1656,1656,1748,1748,1748,1748,1748,1664,1663,1705,1728,1840,1840,1840,1840,1840,1840,1840,1720,1759,1840,1840,1840,1840,1932,1932,1840,1840,1840,2024,2024,2024,2024,2024,2024,1974,2024,1012,146,147,166,158,166,176,207,182,229,239,229,204,199,187,215,218,218,228,233,249,250,270,270,280,291,307,312,311,312,311,311,293,293,293,293,345,332,365,391,391,391,374,374,374,395,395,395,395,395,376,376,333,390,415,415,415,415,415,415,415,389,397,415,415,415,415,436,437,416,416,416,457,457,457,456.8168,457,457,446,457,228,790,801,902,857,902,958,1127,987,1241,1297,1241,1106,1082,1015,1167,1184,1184,1240,1263,1353,1354,1466,1466,1522,1579,1667,1692,1687,1692,1688,1688,1591,1591,1586,1704,1872,1804,1984,2121,2121,2121,2030,2030,2030,2143,2143,2143,2143,2143,2040,2039,2038,2118,2255,2255,2255,2255,2255,2255,2255,2109,2156,2255,2255,2255,2255,2368,2369,2256,2256,2256,2481,2481,2481,2480.8168,2481,2481,2420,2481,1240
2,T2,2T2,8.10,13.30,17.18,20.66,25.00,29.7,34.76,37.48,42.26,46.7,50.8,54.6,55.6,43.63636364,54.6,79.92007992,414,413,460,552,598,644,736,679,818,782,658,745,736,819,828,993,950,920,908,920,920,1002,1012,1104,1104,1104,1150,1141,1104,1168,962,1012,1196,1196,1315,1435,1219,1168,1443,1443,1443,1450,1415,1163,1246,1166,1626,1445,1564,1360,1380,1092,1094,1380,897,1331,1317,1179,1229,1258,1243,1176,1212,1406,1137,1216,1399,1380,1245,1311,1472,1468,1317,1404,1498,1500,1558,1631,1352,828,93,93,104,125,135,146,166,153,185,177,149,168,166,185,187,224,214,208,205,208,207,227,228,250,250,250,260,258,250,264,217,228,270,270,297,324,276,264,326,326,326,328,319,263,282,263,367,327,354,307,312,247,247,311,202,301,298,267,278,284,281,266,290,318,257,275,313,311,281,296,333,332,298,317,338.0986,339,352,368,306,187,507,506,564,677,733,790,902,832,1003,959,807,913,902,1004,1015,1217,1164,1128,1113,1128,1127,1229,1240,1354,1354,1354,1410,1399,1354,1432,1179,1240,1466,1466,1612,1759,1495,1432,1769,1769,1769,1778,1734,1426,1528,1429,1993,1772,1918,1667,1692,1339,1341,1691,1099,1632,1615,1446,1507,1542,1524,1442,1502,1724,1394,1491,1712,1691,1526,1607,1805,1800,1615,1721,1836.0986,1839,1910,1999,1658,1015
